STATE/UT,population,litercay rate,Area km^2
A & N ISLANDS,"380,581",86.63%,"8,249"
ANDHRA PRADESH,"84,580,777",67.02%,"162,970"
ARUNACHAL PRADESH,"1,383,727",65.38%,"83,743"
ASSAM,"31,205,576",72.19%,"78,438"
BIHAR,"104,099,452",61.80%,"94,163"
CHANDIGARH,"1,055,450",86.05%,114
CHHATTISGARH,"25,545,198",70.28%,"135,192"
D & N HAVELI,"343,709",76.24%,491
DAMAN & DIU,"243,247",87.10%,112
DELHI,"16,787,941",86.21%,"3,702"
GOA,"1,458,545",88.70%,"196,244"
GUJARAT,"60,439,692",78.03%,"44,212"
HARYANA,"25,351,462",75.55%,"55,673"
HIMACHAL PRADESH,"6,864,602",82.80%,"55,538"
JAMMU & KASHMIR,"12,541,302",67.16%,"79,716"
JHARKHAND,"32,988,134",66.41%,"191,791"
KARNATAKA,"61,095,297",75.36%,"38,852"
KERALA,"33,406,061",94.00%,"166,698"
LAKSHADWEEP,"64,473",91.85%,
MADHYA PRADESH,"72,626,809",69.32%,"308,252"
MAHARASHTRA,"112,374,333",82.34%,"307,713"
MANIPUR,"2,855,794",76.94%,"22,327"
MEGHALAYA,"2,966,889",74.43%,"22,429"
MIZORAM,"1,097,206",91.33%,"21,081"
NAGALAND,"1,978,502",79.55%,"16,579"
ODISHA,"41,974,218",72.87%,"155,707"
PUDUCHERRY,"1,247,953",85.85%,490
PUNJAB,"27,743,338",75.84%,"50,362"
RAJASTHAN,"68,548,437",66.11%,"342,239"
SIKKIM,"610,577",81.42%,"7,096"
TAMIL NADU,"72,147,030",80.09%,"130,060"
TRIPURA,"3,673,917",87.22%,"10,486"
UTTAR PRADESH,"199,812,341",67.68%,"240,928"
UTTARAKHAND,"10,086,292",78.82%,"53,483"
WEST BENGAL,"91,276,115",76.26%,"88,752"
